Word,uniqueID,grasp_freq_1,grasp_freq_2,grasp_freq_3,grasp_freq_4,grasp_freq_5,grasp_freq_6,grasp_freq_7
fishhook,fishhook,0,1,3,1,5,8,15
fishing pole,fishing_pole,0,0,0,0,6,12,17
fishnet stockings,fishnet_stockings,0,0,3,3,7,6,16
flag,flag,0,0,0,0,10,12,16
flagpole,flagpole,0,2,3,2,11,9,9
flamethrower,flamethrower,0,1,6,5,18,7,1
flamingo,flamingo,2,11,12,2,5,1,1
flan,flan,3,4,6,4,10,5,6
flashbulb,flashbulb,0,2,2,2,6,13,12
flashlight,flashlight,0,0,0,0,4,13,22
flask,flask,0,0,0,1,2,10,26
flatiron,flatiron,0,0,1,1,1,11,23
flip-flop,flip_flop,0,0,0,1,3,10,18
flipper,flipper,0,0,0,2,3,18,16
float,float,0,2,2,1,16,11,7
floss,floss,0,0,1,1,5,10,19
flour,flour,2,3,10,2,11,5,4
flower,flower,0,0,0,1,4,11,22
flute,flute,0,0,1,0,6,10,21
fly,fly,11,8,11,0,6,1,1
flypaper,flypaper,2,4,3,1,4,12,12
flyswatter,flyswatter,0,0,0,0,4,13,18
foam,foam,1,0,0,2,2,12,21
folder,folder,1,0,0,0,1,11,21
fondue,fondue,3,3,14,4,6,3,5
food processor,food_processor,0,1,1,3,9,15,9
foot,foot,0,0,0,1,8,17,14
football,football,0,0,0,1,12,9,13
football helmet,football_helmet,1,0,1,3,7,10,18
footbath,footbath,5,7,4,5,9,4,1
footprint,footprint,21,8,0,5,2,1,0
footrest,footrest,0,1,1,6,11,14,6
fork,fork,0,0,0,2,3,3,27
forklift,forklift,11,12,2,4,4,2,0
fossil,fossil,2,4,7,8,8,3,3
fountain pen,fountain_pen,0,0,0,1,1,7,26
fox,fox,7,15,11,2,2,0,1
frame,frame,0,2,0,0,10,12,14
freezer,freezer,11,11,3,3,7,3,1
french fries,french_fries,0,0,2,0,3,8,25
french horn,french_horn,0,2,5,2,13,10,6
frisbee,frisbee,0,0,0,0,3,5,30
frog,frog,0,5,21,3,2,6,1
fruit,fruit,0,0,1,1,6,14,16
fruitcake,fruitcake,0,0,1,1,8,12,16
fudge,fudge,0,0,0,1,3,17,17
fungus,fungus,0,0,2,2,12,12,12
funnel,funnel,0,0,0,0,3,7,27
fur coat,fur_coat,0,2,2,4,8,13,8
furnace,furnace,19,8,0,4,3,1,2
fuse,fuse,0,0,0,1,6,14,14
gallows,gallows,8,10,3,2,5,7,4
game,game,0,1,2,4,8,13,9
garbage,garbage,1,5,2,7,14,7,3
garbage truck,garbage_truck,13,10,0,1,7,3,1
gargoyle,gargoyle,8,10,8,0,8,4,1
garlic,garlic,0,0,0,3,3,7,22
garter,garter,0,0,0,1,2,12,23
gas mask,gas_mask,0,0,0,3,6,15,15
gasket,gasket,1,0,3,2,9,12,11
gate,gate,2,3,1,2,13,11,5
gauge,gauge,0,0,3,2,10,14,9
gauze,gauze,0,0,0,2,4,7,24
gavel,gavel,0,0,0,1,2,12,22
gazelle,gazelle,12,11,7,2,1,4,0
gear,gear,0,4,2,8,13,8,4
gearshift,gearshift,0,0,1,0,0,12,26
gel,gel,4,10,5,1,8,4,5
gem,gem,0,2,0,2,5,10,15
generator,generator,3,5,7,1,9,8,5
gift,gift,0,0,0,8,11,10,9
ginger,ginger,0,0,0,3,2,13,21
gingerbread man,gingerbread_man,0,0,0,2,3,8,23
giraffe,giraffe,10,14,4,1,4,4,0
girl,girl,1,1,6,14,9,5,3
glass,glass,0,0,1,1,1,10,25
glasses,glasses,0,0,0,1,2,10,24
globe,globe,1,0,4,5,14,8,4
glove,glove,0,0,0,0,2,9,28
glue,glue,1,3,3,2,6,9,12
go-kart,go-kart,6,4,5,6,9,5,3
goalpost,goalpost,6,8,4,3,10,7,2
goat,goat,1,13,9,2,5,3,4
goblet,goblet,0,0,0,1,5,18,16
goggles,goggles,1,0,0,1,0,7,26
gold,gold,0,1,2,1,10,18,8
goldfish,goldfish,4,9,10,3,7,4,1
golf cart,golf_cart,7,7,1,8,7,7,1
golf club,golf_club,0,0,0,1,5,7,19
gondola,gondola,5,9,5,4,9,5,1
gong,gong,1,4,3,2,19,8,2
goose,goose,5,9,11,1,7,6,1
gopher,gopher,4,7,15,1,5,5,1
gorilla,gorilla,15,14,3,1,1,3,1
gourd,gourd,0,2,2,3,13,14,3
graffiti,graffiti,19,3,4,4,4,1,2
grain,grain,0,2,2,3,6,10,16
gramophone,gramophone,0,4,7,5,12,5,2
granite,granite,3,8,8,7,7,4,2
granola,granola,0,0,0,2,6,10,19
grape,grape,1,0,0,1,1,11,23
grapefruit,grapefruit,0,0,0,0,7,12,18
grapevine,grapevine,1,2,2,3,11,11,9
grass,grass,0,2,1,0,7,12,14
grasshopper,grasshopper,4,8,7,2,7,5,3
grate,grate,0,9,6,3,9,8,4
grater,grater,0,1,0,2,7,9,18
gravel,gravel,0,1,4,2,6,13,10
gravestone,gravestone,6,8,4,3,10,5,1
gravy,gravy,8,11,2,5,5,4,2
green beans,green_beans,0,0,0,0,3,14,23
grenade,grenade,1,0,2,2,4,11,18
grill,grill,1,3,7,4,13,5,3
grille,grille,2,5,9,2,17,3,2
grinder,grinder,0,1,1,3,13,14,6
grits,grits,3,5,6,3,10,4,4
groundhog,groundhog,3,7,14,1,6,4,1
guacamole,guacamole,1,2,5,1,9,9,9
guardrail,guardrail,4,6,9,1,9,7,2
guillotine,guillotine,4,9,6,2,13,2,2
guinea pig,guinea_pig,0,2,3,4,13,7,6
guitar,guitar,0,1,1,2,7,14,14
gum,gum,0,0,1,0,1,11,26
gumball,gumball,0,1,0,0,3,7,28
gumdrop,gumdrop,0,0,0,0,0,10,26
gun,gun,0,1,1,0,9,15,12
gurney,gurney,1,0,3,2,12,15,6
gutter,gutter,2,4,9,4,8,5,4
gyro,gyro,0,0,0,0,6,15,18
gyroscope,gyroscope,1,1,0,0,6,16,15
hail,hail,0,2,2,2,7,17,7
hair,hair,0,1,1,0,7,14,17
hairbrush,hairbrush,0,0,0,1,1,9,29
hairdryer,hairdryer,0,0,0,0,5,8,25
hairnet,hairnet,0,0,1,0,1,9,25
hairpin,hairpin,0,0,1,1,2,10,24
hairspray,hairspray,4,3,1,1,8,7,12
ham,ham,0,0,4,1,13,10,10
hamburger,hamburger,0,0,0,1,2,10,25
hammer,hammer,0,0,0,0,4,12,20
hammock,hammock,0,1,6,5,8,14,3
hamster,hamster,0,0,2,2,14,12,8
hand,hand,0,0,1,0,4,10,23
handbrake,handbrake,0,0,1,3,3,8,22
handcuff,handcuff,0,0,1,2,4,10,18
handkerchief,handkerchief,0,0,0,1,1,6,30
handle,handle,0,0,0,1,5,10,23
handlebar,handlebar,0,0,0,0,4,14,17
handprint,handprint,22,3,1,6,4,0,1
hanger,hanger,0,0,0,0,2,12,23
hard disk,hard_disk,0,0,2,4,9,13,9
harmonica,harmonica,0,0,0,1,0,10,25
harness,harness,0,0,1,2,7,15,13
harp,harp,2,6,8,1,6,9,3
hash,hash,1,3,7,1,12,8,6
hat,hat,0,0,0,1,3,13,19
hatbox,hatbox,0,0,0,1,7,12,15
hatchet,hatchet,0,0,2,0,9,14,13
hawk,hawk,5,11,9,5,2,2,1
hay,hay,0,1,4,0,10,10,13
headband,headband,0,0,0,1,1,3,33
headdress,headdress,0,0,2,4,10,13,9
headlamp,headlamp,0,0,0,1,4,14,18
headlight,headlight,2,3,9,4,7,4,4
headphones,headphones,0,0,0,0,2,11,23
headrest,headrest,0,0,1,3,4,14,16
headscarf,headscarf,0,0,1,1,1,11,24
headset,headset,0,0,1,1,1,9,27
hearing aid,hearing_aid,0,0,1,0,2,12,22
hearse,hearse,15,6,6,5,1,3,1
heater,heater,1,3,6,3,19,5,2
hedge,hedge,7,3,6,9,8,6,1
hedgehog,hedgehog,2,11,9,4,9,1,3
helicopter,helicopter,16,7,2,2,6,6,0
helmet,helmet,0,0,0,0,11,13,15
highchair,highchair,0,0,0,1,13,16,6
highlighter,highlighter,0,0,0,1,0,9,28
hinge,hinge,1,1,3,2,8,12,12
hip,hip,1,0,5,3,13,11,7
hippopotamus,hippopotamus,22,8,3,1,3,0,0
hobbyhorse,hobbyhorse,0,0,2,0,3,20,14
hockey stick,hockey_stick,0,0,1,1,5,8,23
hoe,hoe,0,0,1,2,2,15,17
hole,hole,26,1,2,3,1,1,1
holster,holster,0,0,1,0,5,20,14
home plate,home_plate,7,4,7,6,6,4,2
honey,honey,5,8,5,2,9,5,3
honeycomb,honeycomb,0,5,6,2,12,5,6
honeypot,honeypot,0,1,2,0,11,16,8
hood,hood,0,0,0,0,7,10,17
hoodie,hoodie,0,1,0,1,6,10,19
hook,hook1,0,0,0,1,9,15,14
hook,hook2,0,1,3,0,9,16,8
hookah,hookah,0,0,2,2,8,17,8
hopscotch,hopscotch,15,4,2,4,1,7,2
horn,horn,0,0,0,2,3,14,15
horse,horse,3,7,10,7,6,1,4
horseshoe,horseshoe,0,0,0,2,10,17,9
hose,hose,0,1,0,1,8,15,12
hot-air balloon,hot-air_balloon,13,6,6,1,4,5,0
hot-water bottle,hot-water_bottle,0,0,2,1,7,10,13
hot chocolate,hot_chocolate,3,4,4,2,7,12,5
hot tub,hot_tub,14,5,2,2,5,5,4
hotdog,hotdog,0,0,0,1,2,8,28
hotplate,hotplate,0,1,2,3,13,11,5
hourglass,hourglass,0,1,1,2,6,15,11
hovercraft,hovercraft,20,5,2,4,5,1,1
hubcap,hubcap,0,0,3,0,10,14,11
hula hoop,hula_hoop,0,0,3,0,0,10,23
hummingbird,hummingbird,8,5,10,3,7,2,2
hummus,hummus,2,3,5,5,9,9,6
humvee,humvee,14,7,1,4,8,2,2
hydrant,hydrant,8,4,8,2,7,10,1
hyena,hyena,19,11,1,2,2,1,0
ice,ice,0,3,18,0,9,4,4
ice-cream cone,ice-cream_cone,0,0,0,2,4,12,19
ice cream,ice_cream,0,2,4,4,7,13,7
ice cube,ice_cube,0,2,4,6,14,5,7
ice pack,ice_pack,0,0,1,2,8,10,17
icemaker,icemaker,2,7,7,0,12,5,3
icepick,icepick,0,0,0,0,2,8,25
iceskate,iceskate,0,0,1,4,14,9,10
icicle,icicle,1,2,6,1,12,9,8
iguana,iguana,2,9,8,2,11,5,2
incense,incense,0,1,0,2,2,17,15
incubator,incubator,2,3,6,5,14,8,1
inhaler,inhaler,0,0,0,0,2,11,25
ink,ink,8,6,4,4,3,4,8
inkwell,inkwell,0,1,1,1,6,16,12
insole,insole,0,0,0,2,3,14,17
iron,iron,0,0,2,1,5,9,21
ironing board,ironing_board,0,2,4,2,9,15,4
ivy,ivy,0,0,3,0,4,13,17
jack,jack,0,1,4,5,10,15,2
jacket,jacket,0,0,1,3,4,13,18
jackhammer,jackhammer,0,5,7,3,14,4,0
jalapeno,jalapeno,0,0,0,0,4,17,17
jam,jam,0,7,5,2,5,10,9
jar,jar,1,0,0,0,9,12,15
javelin,javelin,0,1,2,2,12,9,11
jeans,jeans,0,0,0,2,0,18,18
jeep,jeep,13,6,7,3,6,2,1
jelly bean,jelly_bean,0,0,0,0,7,10,19
jellyfish,jellyfish,8,14,3,2,6,1,2
jersey,jersey,0,1,0,0,2,12,22
jet,jet,23,6,4,1,0,2,1
jetski,jetski,4,3,5,2,11,11,3
jewel,jewel,0,0,3,1,2,9,21
jewelry,jewelry,0,0,0,1,4,15,18
jigsaw puzzle,jigsaw_puzzle,1,0,4,4,6,14,6
joystick,joystick,0,0,0,2,2,15,20
jug,jug,0,0,0,2,16,14,7
juice,juice,4,7,7,1,7,5,6
juicer,juicer1,0,0,0,2,3,12,17
juicer,juicer2,0,1,3,4,15,12,4
jukebox,jukebox,12,4,5,5,2,6,3
jump rope,jump_rope,0,0,0,1,1,11,26
jumpsuit,jumpsuit,0,0,1,3,6,11,16
kale,kale,0,0,1,2,5,10,19
kaleidoscope,kaleidoscope,1,0,1,3,8,9,15
kangaroo,kangaroo,16,11,1,6,2,1,1
kayak,kayak,1,5,8,2,9,7,3
kazoo,kazoo,0,1,0,2,1,9,23
kebab,kebab,0,0,0,2,4,12,19
keg,keg,7,5,12,2,6,3,1
ketchup,ketchup,0,1,10,3,9,11,4
kettle,kettle,0,0,0,0,5,11,20
key,key,0,0,0,1,2,4,31
keyboard,keyboard,0,3,8,1,10,11,3
keyhole,keyhole,14,9,4,6,1,1,0
kilt,kilt,0,0,0,3,4,12,16
kimono,kimono,0,0,0,3,4,16,13
kite,kite,0,0,0,2,6,18,11
kitten,kitten,0,0,2,2,6,21,9
kiwi,kiwi,0,0,0,2,1,6,29
knee,knee,0,0,1,1,9,14,11
kneepad,kneepad,0,0,0,0,1,17,19
knife,knife,0,1,0,2,0,10,23
knitting,knitting,0,1,3,5,4,11,11
knitting needle,knitting_needle,0,0,0,2,5,6,24
knob,knob,0,0,0,0,3,7,28
knot,knot,0,3,1,2,10,18,6
koala,koala,2,7,7,8,7,3,3
lab coat,lab_coat,0,0,1,0,2,7,30
ladder,ladder,0,0,8,1,12,11,1
ladle,ladle,0,0,0,0,3,12,20
ladybug,ladybug,1,3,5,3,7,6,11
lamb,lamb,1,9,8,2,10,5,2
lamb chop,lamb_chop,0,0,1,3,6,17,11
lamp,lamp,0,0,0,3,10,13,12
lamppost,lamppost,2,3,2,1,8,17,5
lampshade,lampshade,0,0,1,2,10,13,14
landmine,landmine,3,5,2,7,6,6,4
lantern,lantern,0,0,0,0,7,13,15
lanyard,lanyard,0,0,0,1,1,9,26
laptop,laptop,0,1,0,1,9,13,11
lasagna,lasagna,1,1,5,3,10,10,7
laser pointer,laser_pointer,0,0,0,1,3,8,23
latch,latch,0,0,1,1,7,15,13
latte,latte,0,2,0,2,5,16,12
laundry basket,laundry_basket,1,0,0,0,5,14,17
lava,lava,32,4,1,0,0,0,1
lavender,lavender,0,1,0,1,4,16,15
lawnmower,lawnmower,0,1,4,2,10,14,6
leaf,leaf,0,0,0,0,3,7,27
leash,leash,0,0,0,0,3,7,26
lectern,lectern,0,4,3,1,13,12,2
leech,leech,0,2,8,4,10,6,8
leek,leek,1,0,1,0,4,10,18
leg,leg,0,1,2,1,9,15,12
leggings,leggings,0,0,1,1,0,12,24
lego,lego,0,0,0,0,5,8,26
lemon,lemon,0,0,0,0,4,16,20
lemonade,lemonade,7,5,1,5,6,9,5
lens,lens,0,1,0,0,8,13,15
leopard,leopard,16,14,5,4,1,0,0
leotard,leotard,0,0,0,0,3,12,21
letter opener,letter_opener,0,0,0,1,0,10,27
lettuce,lettuce,0,0,0,0,6,14,20
license plate,license_plate,1,0,0,2,5,14,16
licorice,licorice,0,0,0,2,3,11,21
lid,lid,0,0,0,0,5,8,26
life jacket,life_jacket,0,0,0,3,7,16,12
lifesaver,lifesaver,0,0,0,0,4,18,14
light switch,light_switch,3,1,2,2,9,14,8
lightbulb,lightbulb,0,0,1,0,2,13,21
lighter,lighter,0,0,0,0,3,6,31
lightning bug,lightning_bug,1,5,11,2,10,5,3
lime,lime,0,1,1,0,1,7,28
limousine,limousine,15,7,2,5,6,1,2
lingerie,lingerie,0,0,0,0,5,17,15
lion,lion,15,11,1,1,4,3,0
lip balm,lip_balm,0,0,0,0,3,11,20
lip gloss,lip_gloss,0,0,1,1,4,7,22
lipstick,lipstick,0,0,0,0,4,9,27
lizard,lizard,0,4,9,3,13,4,3
llama,llama,8,9,7,3,4,2,3
lobster,lobster,3,3,12,4,10,5,2
lock,lock,1,1,0,4,11,10,10
locker,locker,5,5,3,2,8,10,1
locket,locket,0,0,1,0,2,7,27
log,log,3,6,14,2,10,1,3
loincloth,loincloth,0,0,1,2,1,15,16
lollipop,lollipop,0,0,0,1,2,9,23
loom,loom,0,3,5,4,12,10,3
loveseat,loveseat,6,7,9,2,5,4,1
luggage,luggage,0,0,4,2,8,19,6
lumber,lumber,0,5,6,3,13,7,3
lunchbox,lunchbox,0,0,0,0,1,13,25
macadamia,macadamia,0,0,0,1,2,14,20
macaroni,macaroni,1,0,2,1,1,14,20
machete,machete,0,0,2,1,10,11,13
machine gun,machine_gun,1,3,8,3,10,9,1
maggot,maggot,1,0,6,0,9,5,17
magnet,magnet,0,0,1,3,6,12,16
magnifier,magnifier,0,0,2,2,11,16,8
magnifying glass,magnifying_glass,0,0,1,0,3,8,24
mail,mail,0,1,0,1,2,10,22
mailbox,mailbox,2,0,6,6,10,9,3
makeup,makeup,0,2,1,5,4,5,18
mallet,mallet,0,0,0,1,4,18,16
man,man,0,2,5,7,11,10,2
manatee,manatee,15,14,4,2,4,0,0
mandolin,mandolin,0,1,1,1,10,15,10
mango,mango,0,0,1,1,1,10,22
manhole,manhole,6,10,8,6,5,1,0
mannequin,mannequin,0,2,8,6,12,9,3
mantle,mantle,3,2,2,4,13,9,1
map,map,0,0,1,1,10,12,15
maple syrup,maple_syrup,5,5,2,1,8,9,6
marble,marble,0,0,0,1,2,9,25
margarita,margarita,0,2,1,1,6,12,14
marijuana,marijuana,0,0,0,2,4,18,11
marker,marker,1,1,0,0,0,10,24
marmalade,marmalade,2,3,5,6,9,12,1
marshmallow,marshmallow,0,1,0,1,3,10,21
mascara,mascara,0,0,1,1,7,8,22
mashed potato,mashed_potato,0,4,7,3,7,10,6
mask,mask,0,0,0,2,4,12,18
mast,mast,6,10,5,1,8,4,3
mat,mat,0,2,0,2,5,12,16
match,match,0,0,1,1,4,9,23
matchbox,matchbox,0,0,0,0,1,9,27
mattress,mattress,2,6,14,1,10,3,1
measuring cup,measuring_cup,0,1,0,2,1,12,22
meat,meat,0,0,1,1,11,13,9
meat grinder,meat_grinder,0,1,3,2,14,15,2
meatball,meatball,0,0,0,1,3,14,22
meatloaf,meatloaf,0,1,2,3,8,12,12
medal,medal,1,0,0,0,6,11,21
meerkat,meerkat,5,9,11,3,9,2,0
megaphone,megaphone,0,1,2,0,6,13,17
melon,melon,0,0,3,3,10,6,16
memory stick,memory_stick,0,1,0,0,4,11,22
metal detector,metal_detector,0,0,1,0,4,18,13
metronome,metronome,0,0,1,3,8,17,8
microphone,microphone,0,0,0,1,1,10,26
microscope,microscope,0,0,4,3,12,13,5
microwave,microwave,5,8,7,2,9,4,2
milk,milk,5,11,4,8,2,5,2
milkshake,milkshake,1,2,0,1,6,16,12
minivan,minivan,10,8,4,3,7,6,1
mint,mint,0,0,1,2,4,10,20
mirror,mirror,0,3,3,4,14,9,3
missile,missile,19,7,4,3,2,2,0
mistletoe,mistletoe,0,0,1,1,5,13,17
mitten,mitten,0,0,0,0,1,5,29
mixer,mixer,0,1,6,2,15,10,3
moccasin,moccasin,0,0,0,3,0,11,24
modem,modem,0,1,2,2,5,10,18
mold,mold1,0,0,2,1,9,14,13
mold,mold2,2,3,5,9,5,11,1
mole,mole,2,5,8,3,16,4,2
money,money,0,0,0,1,1,14,22
mongoose,mongoose,6,13,8,4,4,1,1
monkey,monkey,5,4,11,4,10,1,1
moose,moose,14,10,6,3,1,2,1
mop,mop,0,0,0,0,2,21,16
mosquito,mosquito,6,10,8,5,6,3,0
mosquito net,mosquito_net,0,0,1,1,5,16,12
moss,moss,0,2,4,6,3,15,6
moth,moth,5,8,10,2,4,7,1
motherboard,motherboard,0,3,5,2,6,8,12
motorcycle,motorcycle,0,3,9,3,10,8,5
mouse,mouse1,3,3,8,4,10,4,6
mouse,mouse2,0,0,0,2,2,12,22
mousepad,mousepad,0,0,0,0,3,8,27
mousetrap,mousetrap,1,2,2,1,6,16,8
mousse,mousse,2,4,6,1,9,4,12
mouth,mouth,1,4,7,8,10,6,2
mouthpiece,mouthpiece,0,0,0,0,4,11,25
mud,mud,1,10,5,2,9,8,3
muff,muff,0,0,1,0,6,9,20
muffin,muffin,0,1,0,0,1,13,24
mug,mug,0,0,0,0,0,7,32
mulberry,mulberry,0,1,0,1,0,8,28
mulch,mulch,0,1,3,1,11,10,11
mullet,mullet,2,0,0,6,6,16,8
mushroom,mushroom,0,0,0,3,1,17,14
music box,music_box,0,1,0,1,11,15,9
mussel,mussel,0,0,1,2,5,10,20
mustache,mustache,1,1,5,4,9,8,11
mustard,mustard,0,8,4,3,7,9,6
nacho,nacho,0,0,2,1,3,11,20
nail,nail,0,0,1,2,3,11,17
nail clippers,nail_clippers,0,0,1,2,2,12,21
nail file,nail_file,1,0,0,2,2,7,21
nail polish,nail_polish,1,3,0,2,4,9,20
napkin,napkin,0,0,1,1,2,2,33
napkin ring,napkin_ring,0,0,0,0,1,7,28
navel,navel,8,4,8,7,8,1,1
neck,neck,1,1,1,1,11,17,6
necklace,necklace,0,0,0,0,6,13,17
needle,needle,0,0,1,2,2,6,27
nest,nest,0,1,1,5,11,12,6
net,net,0,0,2,3,13,11,4
nightshirt,nightshirt,0,0,0,1,1,12,20
nightstand,nightstand,3,9,10,3,11,1,2
noisemaker,noisemaker,0,0,0,1,1,4,30
noodle,noodle,0,3,3,4,11,7,11
noose,noose,0,0,0,2,6,14,15
nose,nose,0,0,0,2,8,11,17
notebook,notebook,0,0,0,0,2,15,21
notepad,notepad,0,0,0,1,1,13,23
nut,nut,0,0,0,1,2,9,26
nutcracker,nutcracker,0,0,0,0,5,8,25
oar,oar,0,0,2,3,10,12,10
oatmeal,oatmeal,3,4,4,4,11,5,9
octopus,octopus,10,6,11,7,2,3,0
odometer,odometer,9,3,4,7,5,8,1
oil,oil,8,10,6,5,9,1,0
oilcan,oilcan,0,0,0,0,7,14,16
okra,okra,0,0,1,1,2,13,21
olive,olive,0,0,1,1,3,13,21
omelet,omelet,1,0,2,5,11,10,9
onion,onion,0,0,0,0,2,15,19
orange,orange,0,0,0,1,3,11,20
orange rind,orange_rind,0,0,0,1,3,10,25
orangutan,orangutan,12,7,4,5,5,3,3
orchid,orchid,0,1,1,1,4,8,22
organ,organ,15,7,3,1,4,2,3
origami,origami,0,3,2,1,5,13,14
ostrich,ostrich,9,11,12,2,2,1,0
otter,otter,3,13,8,2,8,5,0
ottoman,ottoman,0,1,13,6,7,6,3
outfit,outfit,1,1,0,1,8,11,17
outlet,outlet,7,5,5,4,6,4,3
oven,oven,11,8,1,5,7,3,2
overalls,overalls,0,0,1,2,6,10,17
owl,owl,8,11,9,3,2,0,2
oyster,oyster,0,0,0,0,9,11,20
pacifier,pacifier,1,0,0,0,1,3,26
paddle,paddle,0,0,0,1,8,13,16
padlock,padlock,0,1,1,2,5,13,13
paint,paint,3,6,7,3,10,7,1
paintbrush,paintbrush,0,0,0,1,2,9,23
painting,painting,0,0,2,6,12,11,6
pajamas,pajamas,0,0,0,0,3,12,20
palette,palette,0,0,0,1,4,12,19
pallet,pallet,2,8,12,2,8,4,2
palm tree,palm_tree,8,9,4,3,8,4,2
pan,pan,0,1,1,0,5,18,15
pancake,pancake,0,2,0,1,4,12,19
panda,panda,12,6,10,3,3,2,3
panther,panther,18,12,5,1,1,2,0
panties,panties,0,0,0,1,0,7,28
pants,pants,0,0,0,0,3,8,27
pantsuit,pantsuit,0,0,0,1,10,13,12
pantyhose,pantyhose,0,1,1,1,7,9,17
papaya,papaya,0,0,0,2,7,20,8
paper,paper,0,0,1,0,3,8,27
paper bag,paper_bag,0,0,0,0,2,6,27
paper plate,paper_plate,0,0,1,0,2,14,20
paper towel,paper_towel,0,1,0,0,1,9,25
paperclip,paperclip,0,0,2,1,3,9,20
paperweight,paperweight,0,0,2,3,13,11,9
parachute,parachute,0,4,7,3,11,8,4
parfait,parfait,0,0,1,3,6,17,12
parking meter,parking_meter,2,5,3,4,11,7,3
parrot,parrot,2,6,14,3,7,4,2
parsley,parsley,0,2,0,0,1,11,25
pasta,pasta,0,3,4,0,7,11,12
pastry,pastry,0,0,0,1,1,12,22
patch,patch,0,0,0,2,3,8,24
patty,patty,0,0,0,1,4,15,18
payphone,payphone,3,2,4,3,12,8,4
pea,pea,0,1,0,0,4,7,24
peach,peach,0,0,1,3,0,9,25
peacock,peacock,6,10,10,2,8,2,1
peanut,peanut,0,1,0,0,1,4,33
peanut butter,peanut_butter,2,3,8,7,6,9,5
pear,pear,0,0,0,0,3,15,21
pearl,pearl,0,0,3,1,3,5,24
pecan,pecan,0,0,0,0,3,5,27
pedal,pedal,2,1,3,1,11,12,8
pedometer,pedometer,0,0,0,1,1,7,27
peeler,peeler,0,0,0,1,1,11,22
peg,peg,0,0,0,0,1,7,31
pelican,pelican,8,10,10,3,4,1,1
pen,pen,0,0,0,0,1,4,30
pencil,pencil,0,0,0,0,2,10,24
pencil sharpener,pencil_sharpener,0,0,0,0,3,3,29
pendulum,pendulum,0,0,1,9,10,10,8
penguin,penguin,1,6,12,5,9,2,2
penholder,penholder,0,0,0,3,8,17,11
penlight,penlight,0,0,0,0,0,8,30
pennant,pennant,0,0,0,1,12,7,14
pepper mill,pepper_mill,0,0,0,2,5,11,22
pepper,pepper1,1,2,5,2,3,7,14
pepper,pepper2,0,0,0,1,5,12,22
peppermint,peppermint,0,0,1,0,3,12,22
pepperoni,pepperoni,0,1,0,0,3,14,19
perfume,perfume,0,2,2,0,4,13,17
periscope,periscope,1,3,3,4,13,7,6
pesto,pesto,0,2,5,0,9,7,13
pet food,pet_food,0,0,2,1,10,12,14
petal,petal,0,0,0,1,4,9,25
petri dish,petri_dish,0,1,0,0,3,12,23
pheasant,pheasant,4,7,13,6,7,3,0
phone,phone,0,0,0,0,1,11,20
phone booth,phone_booth,12,6,3,2,6,6,3
photo booth,photo_booth,10,6,7,2,6,4,1
photograph,photograph,0,0,0,0,3,5,30
piano,piano,5,7,11,2,5,7,2
pickax,pickax,0,0,4,1,10,13,9
pickle,pickle,0,0,1,1,0,13,23
pie,pie,0,0,1,3,8,14,12
piecrust,piecrust,1,1,3,0,6,11,17
pig,pig,3,18,8,0,6,3,0
pigeon,pigeon,5,8,4,3,12,5,2
piggy bank,piggy_bank,0,1,2,3,12,16,4
piglet,piglet,0,3,11,6,11,3,2
pill,pill,0,0,1,2,6,8,21
pillbox,pillbox,0,0,0,0,4,8,25
pillow,pillow,0,0,0,2,1,14,19
pin,pin,0,0,1,0,11,8,16
pinball,pinball,3,7,2,5,10,6,6
pincushion,pincushion,0,0,0,2,5,10,17
pine needle,pine_needle,0,1,1,1,5,18,14
pine tree,pine_tree,8,6,7,3,5,7,1
pineapple,pineapple,0,0,5,2,13,9,8
pinecone,pinecone,0,0,1,1,3,11,23
ping-pong table,ping-pong_table,7,3,3,4,16,4,2
pinwheel,pinwheel,0,0,0,1,5,10,22
pipe,pipe1,0,0,1,3,3,12,18
pipe,pipe2,0,3,2,2,14,9,6
pistachio,pistachio,0,0,0,2,1,11,22
pita,pita,0,1,0,1,3,15,19
pitcher,pitcher,0,1,0,0,6,15,15
pitchfork,pitchfork,0,0,1,2,9,13,11
pizza,pizza,0,0,0,2,10,15,13
place mat,place_mat,0,0,0,2,2,14,19
plant,plant,0,0,0,1,14,16,6
plaster cast,plaster_cast,0,2,7,5,7,13,4
plastic film,plastic_film,0,0,2,0,4,12,19
plate,plate,0,0,0,0,3,12,22
platypus,platypus,0,14,13,2,4,2,2
playing card,playing_card,0,0,1,0,1,5,28
playpen,playpen,1,3,8,2,7,9,9
pliers,pliers,0,0,1,1,3,12,21
plug,plug,0,0,0,0,3,13,22
plum,plum,1,0,0,1,4,12,21
plunger,plunger,0,0,1,1,3,11,21
pocket,pocket,2,1,3,3,6,12,9
pocket watch,pocket_watch,0,0,0,1,0,9,27
pocketknife,pocketknife,0,1,1,1,3,17,13
pogo stick,pogo_stick,0,2,2,1,6,10,16
poinsettia,poinsettia,0,0,2,0,11,12,15
poker,poker,0,1,0,0,3,19,16
polar bear,polar_bear,20,8,4,2,0,1,0
polaroid,polaroid,0,0,0,0,5,12,22
pole,pole,0,2,1,3,8,18,7
police car,police_car,14,7,4,5,4,4,1
polisher,polisher,0,1,2,1,9,19,6
polo shirt,polo_shirt,0,0,0,1,1,16,19
