Word,uniqueID,grasp_freq_1,grasp_freq_2,grasp_freq_3,grasp_freq_4,grasp_freq_5,grasp_freq_6,grasp_freq_7
blimp,blimp,23,10,0,1,4,1,0
blind,blind,0,1,2,2,9,11,12
blinder,blinder,0,1,2,1,15,7,9
blindfold,blindfold,0,0,0,2,1,9,24
block,block,0,0,2,4,7,14,9
blouse,blouse,0,0,1,0,4,13,21
blower,blower,0,1,5,0,16,13,3
blowfish,blowfish,14,9,11,0,2,1,0
blowgun,blowgun,0,0,1,0,5,12,17
blowtorch,blowtorch,0,1,0,2,10,12,12
blueberry,blueberry,0,0,2,2,3,9,22
boa,boa,0,1,0,1,4,11,18
boar,boar,10,11,10,1,3,4,1
board,board,0,0,2,4,21,10,2
board game,board_game,0,0,0,1,6,17,13
boat,boat,9,6,5,1,9,5,1
bobsled,bobsled,3,6,7,3,14,3,3
bok choy,bok_choy,0,0,0,4,3,17,13
bolo tie,bolo_tie,0,0,2,1,1,6,27
bologna,bologna,0,0,1,1,6,19,11
bolt,bolt,0,0,1,0,5,18,14
bomb,bomb,20,7,6,2,4,0,0
bone,bone,0,1,1,3,9,10,11
bongo,bongo,0,0,6,1,9,19,4
bonnet,bonnet,0,0,0,0,7,11,20
bonsai,bonsai,1,0,2,2,16,11,5
book,book,0,0,0,0,6,7,26
bookmark,bookmark,0,0,1,2,1,8,27
bookshelf,bookshelf,2,11,4,4,10,4,1
boomerang,boomerang,0,1,0,1,4,7,24
boot,boot,0,1,2,2,3,14,14
bottle,bottle,0,0,0,1,3,19,16
bottle opener,bottle_opener,0,0,0,0,4,9,22
boulder,boulder,20,13,4,2,1,0,0
bouquet,bouquet,0,0,1,0,1,16,19
bow,bow1,0,0,0,1,3,5,26
bow,bow2,0,1,2,1,8,20,6
bow,bow3,0,1,2,0,2,14,19
bowl,bowl,0,0,0,1,8,14,15
bowler hat,bowler_hat,0,0,0,0,2,17,16
bowling ball,bowling_ball,1,0,1,3,12,12,7
bowtie,bowtie,1,0,2,1,2,10,20
box,box,0,1,1,5,20,6,4
boxer shorts,boxer_shorts,0,0,0,1,4,5,28
boxing gloves,boxing_gloves,1,1,2,0,5,18,11
boy,boy,0,1,5,9,12,9,3
bra,bra,0,1,0,0,3,10,21
brace,brace,1,1,0,1,1,14,20
bracelet,bracelet1,0,0,0,0,1,9,27
bracelet,bracelet2,0,0,1,0,2,11,26
bracket,bracket,0,0,1,1,9,10,13
braid,braid,0,0,1,2,8,11,13
brake,brake,0,1,5,5,12,8,6
branch,branch,0,2,1,1,11,13,9
brass knuckles,brass_knuckles,0,0,3,2,2,18,13
bread,bread,0,1,0,1,2,11,21
breadbox,breadbox,0,1,6,5,9,11,7
breadstick,breadstick,0,0,1,0,4,10,23
breakfast,breakfast,0,0,2,5,4,15,13
breathalyzer,breathalyzer,0,0,1,3,3,8,22
brick,brick,2,0,1,2,15,14,6
briefcase,briefcase,0,0,0,1,4,18,14
broccoli,broccoli,0,0,0,0,4,9,24
brooch,brooch,0,0,0,1,3,7,24
broom,broom,0,0,0,0,1,17,21
brownie,brownie,0,0,1,1,4,11,20
