Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
cereal,cereal,21,9,1,3,0,3,0
chain,chain,20,2,3,2,7,5,1
chainsaw,chainsaw,3,5,5,4,5,13,3
chair,chair,13,6,4,8,4,1,1
chalice,chalice,19,8,4,2,1,1,1
chalk,chalk,15,11,8,3,0,1,0
chalkboard,chalkboard,25,9,2,2,1,0,0
champagne,champagne,8,9,3,4,8,3,1
chandelier,chandelier,11,6,6,4,9,1,1
chaps,chaps,14,8,1,4,6,3,0
charcoal,charcoal,20,11,2,3,1,1,0
charger,charger,27,6,1,1,2,0,1
chariot,chariot,1,1,1,3,2,13,16
checkbook,checkbook,20,7,3,3,1,1,1
checkers,checkers,11,7,3,2,10,3,1
cheese,cheese,18,11,4,3,0,2,0
cheeseburger,cheeseburger,29,6,0,2,2,0,0
cheesecake,cheesecake,29,4,2,0,0,1,1
cheetah,cheetah,0,0,0,0,0,1,39
cherry,cherry,19,13,1,3,3,0,0
chess piece,chess_piece,7,4,3,5,9,5,5
chessboard,chessboard,21,6,3,2,2,2,0
chest,chest1,1,1,1,3,4,12,14
chest,chest2,12,9,6,3,5,2,0
chick,chick,0,0,0,0,1,4,34
chicken wire,chicken_wire,19,11,2,1,2,1,1
chicken,chicken1,3,3,3,4,5,7,12
chicken,chicken2,1,0,0,1,0,4,30
chickpea,chickpea,22,10,2,3,0,0,0
chihuahua,chihuahua,0,0,0,0,0,3,35
chili,chili,16,11,2,2,3,3,0
chime,chime,2,1,5,2,12,9,4
chimney,chimney,30,8,1,0,0,0,0
chin,chin,1,3,0,1,8,10,13
chinaware,chinaware,23,11,1,0,1,2,2
chinchilla,chinchilla,0,0,0,0,0,4,26
chip,chip,27,10,1,0,1,0,0
chipmunk,chipmunk,0,0,0,0,0,6,32
chips,chips,24,11,0,1,2,1,0
chisel,chisel,15,7,4,5,6,2,0
chive,chive,14,11,5,1,5,2,1
chocolate,chocolate,25,7,2,2,0,0,0
chopsticks,chopsticks,13,9,4,2,4,4,1
christmas card,christmas_card,22,9,0,3,3,2,0
christmas tree,christmas_tree,15,6,5,3,2,2,1
chute,chute,14,15,2,2,2,1,0
cigar,cigar,23,7,2,0,1,0,0
cigarette,cigarette,22,10,1,2,0,2,0
cigarette butt,cigarette_butt,26,5,3,2,0,0,0
cigarette holder,cigarette_holder,21,8,4,2,1,0,0
cilantro,cilantro,12,10,5,7,3,1,0
cinnamon,cinnamon,23,7,3,5,1,0,0
clam,clam,0,0,2,3,7,11,14
clarinet,clarinet,18,6,4,4,2,1,1
clasp,clasp,11,7,4,2,9,6,1
clay,clay,15,10,3,2,4,1,0
cleat,cleat,12,10,3,4,5,2,0
cleaver,cleaver,17,7,3,3,6,1,0
clipboard,clipboard,18,7,5,4,2,0,0
clipper,clipper1,5,8,0,5,11,7,1
