Word,uniqueID,heavy_freq_1,heavy_freq_2,heavy_freq_3,heavy_freq_4,heavy_freq_5,heavy_freq_6,heavy_freq_7
mixer,mixer,1,1,4,0,18,9,4
moccasin,moccasin,24,10,1,2,1,0,0
modem,modem,21,6,4,1,2,2,2
mold,mold1,6,11,6,6,6,4,0
mold,mold2,22,10,1,3,0,0,0
mole,mole,8,12,9,1,7,1,2
money,money,27,8,1,2,0,0,0
mongoose,mongoose,1,16,10,4,6,0,0
monkey,monkey,0,4,4,7,9,12,0
moose,moose,0,0,0,1,1,8,27
mop,mop,10,19,3,2,5,0,0
mosquito,mosquito,33,4,0,1,0,0,0
mosquito net,mosquito_net,20,10,3,1,1,0,0
moss,moss,14,13,3,2,3,0,1
moth,moth,30,5,0,1,0,1,0
motherboard,motherboard,12,9,4,7,3,1,0
motorcycle,motorcycle,0,0,0,0,0,12,26
mouse,mouse1,20,13,2,0,2,1,0
mouse,mouse2,23,9,4,0,1,0,1
mousepad,mousepad,29,6,2,1,0,0,0
mousetrap,mousetrap,22,11,2,0,0,1,0
mousse,mousse,30,5,1,1,1,0,0
mouth,mouth,20,7,5,5,1,0,0
mouthpiece,mouthpiece,32,6,1,1,0,0,0
mud,mud,3,1,3,9,8,9,5
muff,muff,25,10,1,0,0,0,0
muffin,muffin,22,14,1,2,0,0,0
mug,mug,15,8,10,3,2,0,1
mulberry,mulberry,30,6,1,1,0,0,0
mulch,mulch,8,10,5,1,6,5,2
mullet,mullet,16,18,0,1,2,1,0
mushroom,mushroom,20,12,3,0,0,0,0
music box,music_box,8,12,5,6,6,0,0
mussel,mussel,23,11,2,1,1,0,0
mustache,mustache,25,10,2,1,1,0,0
mustard,mustard,26,9,2,0,0,0,0
nacho,nacho,17,12,2,5,1,0,0
nail,nail,18,5,7,4,0,0,0
nail clippers,nail_clippers,22,16,0,0,0,0,0
nail file,nail_file,27,5,1,0,0,0,0
nail polish,nail_polish,27,10,1,1,0,0,0
napkin,napkin,33,5,1,0,0,0,0
napkin ring,napkin_ring,21,13,0,2,0,0,0
navel,navel,15,12,3,7,0,0,0
neck,neck,3,10,6,18,1,0,0
necklace,necklace,12,9,9,5,1,0,0
needle,needle,37,0,1,0,0,0,0
nest,nest,17,13,4,0,1,1,0
net,net,5,6,5,7,8,2,0
nightshirt,nightshirt,24,7,2,1,0,0,0
nightstand,nightstand,0,0,1,1,7,20,10
noisemaker,noisemaker,29,7,0,0,0,0,0
noodle,noodle,26,8,3,1,1,0,0
noose,noose,7,11,9,4,4,2,0
nose,nose,19,10,5,4,0,0,0
notebook,notebook,13,16,5,2,2,0,0
notepad,notepad,23,6,8,1,0,0,0
nut,nut,26,7,2,2,1,0,0
nutcracker,nutcracker,13,18,3,0,3,0,1
oar,oar,2,3,7,5,12,8,0
oatmeal,oatmeal,19,10,4,3,2,0,2
octopus,octopus,3,4,2,5,12,7,6
odometer,odometer,22,6,0,8,1,0,0
oil,oil,5,22,3,5,4,0,0
oilcan,oilcan,9,7,5,2,11,3,0
okra,okra,18,13,4,2,1,0,0
olive,olive,27,10,1,1,0,0,0
omelet,omelet,23,8,3,2,2,0,0
onion,onion,11,13,6,3,2,1,0
orange,orange,14,14,6,0,1,0,0
orange rind,orange_rind,34,5,0,0,0,0,0
orangutan,orangutan,0,0,0,0,6,15,18
orchid,orchid,25,10,1,1,0,0,0
organ,organ,0,0,0,0,3,7,25
origami,origami,30,4,2,2,0,0,0
ostrich,ostrich,0,0,0,0,8,20,9
otter,otter,4,5,10,7,11,2,0
ottoman,ottoman,0,1,3,1,18,12,1
outfit,outfit,18,10,5,2,3,1,0
outlet,outlet,22,9,1,1,1,0,0
oven,oven,0,0,0,0,3,12,22
overalls,overalls,13,9,7,3,4,0,0
owl,owl,4,9,4,10,7,1,0
oyster,oyster,25,11,0,2,1,1,0
pacifier,pacifier,28,3,0,0,0,0,0
paddle,paddle,2,11,10,6,8,1,0
padlock,padlock,4,7,6,4,7,5,2
paint,paint,9,10,6,3,7,2,0
paintbrush,paintbrush,23,7,3,1,0,0,1
painting,painting,4,8,8,10,6,1,0
pajamas,pajamas,27,5,3,0,0,0,0
palette,palette,23,7,2,2,1,1,0
pallet,pallet,0,0,0,0,11,21,6
palm tree,palm_tree,0,0,0,2,0,7,29
pan,pan,2,12,4,3,14,4,1
pancake,pancake,22,8,4,1,2,0,1
panda,panda,0,0,0,0,3,8,28
panther,panther,0,0,0,0,4,27,8
panties,panties,30,4,0,1,0,0,1
pants,pants,20,12,4,0,1,1,0
pantsuit,pantsuit,12,8,8,5,3,0,0
pantyhose,pantyhose,28,7,0,1,0,0,0
papaya,papaya,8,13,4,1,10,1,0
paper,paper,23,7,0,3,3,0,3
paper bag,paper_bag,31,4,0,0,0,0,0
paper plate,paper_plate,27,10,0,0,0,0,0
paper towel,paper_towel,25,10,1,0,0,0,0
paperclip,paperclip,28,5,1,0,1,0,0
paperweight,paperweight,1,4,1,4,10,12,6
parachute,parachute,6,3,2,3,14,5,4
parfait,parfait,19,11,6,2,0,1,0
parking meter,parking_meter,1,2,1,2,9,9,11
parrot,parrot,4,12,8,7,5,2,0
parsley,parsley,27,9,2,0,0,1,0
pasta,pasta,20,8,4,1,4,0,0
pastry,pastry,25,6,3,1,1,0,0
patch,patch,26,8,0,2,1,0,0
patty,patty,20,11,3,2,2,0,0
payphone,payphone,3,1,0,0,10,11,11
pea,pea,31,4,1,0,0,0,0
peach,peach,21,7,4,2,4,0,0
peacock,peacock,2,1,4,11,16,5,0
peanut,peanut,33,6,0,0,0,0,0
peanut butter,peanut_butter,16,15,3,2,3,1,0
pear,pear,13,16,4,3,2,1,0
pearl,pearl,23,6,4,1,1,0,1
pecan,pecan,24,9,1,1,0,0,0
pedal,pedal,6,10,8,4,4,5,1
pedometer,pedometer,26,10,0,0,0,0,0
peeler,peeler,22,10,1,2,0,0,0
peg,peg,29,10,0,0,0,0,0
pelican,pelican,0,6,6,5,14,6,0
pen,pen,26,9,0,0,0,0,0
pencil,pencil,30,6,0,0,0,0,0
pencil sharpener,pencil_sharpener,30,5,0,0,0,0,0
pendulum,pendulum,5,4,7,6,15,1,0
penguin,penguin,0,3,11,7,7,6,3
penholder,penholder,8,13,5,0,10,1,2
penlight,penlight,30,7,1,0,0,0,0
pennant,pennant,21,6,3,2,2,0,0
pepper mill,pepper_mill,15,10,5,4,6,0,0
pepper,pepper1,26,7,0,0,1,0,0
pepper,pepper2,21,11,2,3,2,1,0
peppermint,peppermint,29,8,0,1,0,0,0
pepperoni,pepperoni,20,12,1,2,2,0,0
perfume,perfume,22,9,3,4,0,0,0
periscope,periscope,0,1,0,2,3,11,20
pesto,pesto,23,6,3,3,1,0,0
pet food,pet_food,8,8,3,6,10,2,2
petal,petal,36,3,0,0,0,0,0
petri dish,petri_dish,27,11,0,1,0,0,0
pheasant,pheasant,8,15,8,3,5,1,0
phone,phone,11,10,2,3,3,3,0
phone booth,phone_booth,0,0,0,0,1,9,28
photo booth,photo_booth,0,0,1,2,2,9,22
photograph,photograph,28,8,1,1,0,0,0
piano,piano,0,0,0,0,3,5,31
pickax,pickax,0,0,2,2,15,14,4
pickle,pickle,22,10,3,1,0,1,1
pie,pie,8,14,5,6,4,1,0
piecrust,piecrust,29,8,1,0,1,0,0
pig,pig,0,0,0,0,6,16,16
pigeon,pigeon,19,13,4,3,0,0,0
piggy bank,piggy_bank,4,6,6,7,12,3,0
