Word,uniqueID,lives_freq_1,lives_freq_2,lives_freq_3,lives_freq_4,lives_freq_5,lives_freq_6,lives_freq_7
bib,bib,30,5,1,0,0,0,0
bike,bike,33,3,0,0,0,1,1
bikini,bikini,28,6,1,1,0,0,0
bin,bin,31,4,0,1,0,0,0
binder,binder,30,4,0,1,1,0,0
binoculars,binoculars,30,6,0,1,0,0,0
bird,bird,0,0,0,0,1,3,31
birdbath,birdbath,26,4,2,1,2,1,0
birdcage,birdcage,32,7,0,0,1,0,0
birdhouse,birdhouse,32,4,1,0,1,1,0
birthday cake,birthday_cake,30,5,1,1,1,1,0
biscuit,biscuit,26,10,1,2,0,0,0
bison,bison,0,0,0,0,0,1,36
blackberry,blackberry,6,0,2,2,5,7,16
blanket,blanket,32,5,0,0,0,0,0
blazer,blazer,32,3,1,0,0,1,0
blender,blender,31,5,0,0,1,1,0
blimp,blimp,29,7,1,1,0,0,1
blind,blind,30,5,1,0,0,0,1
blinder,blinder,28,6,0,1,0,0,0
blindfold,blindfold,30,4,1,1,0,0,0
block,block,22,8,4,1,0,1,0
blouse,blouse,32,5,0,2,0,0,0
blower,blower,34,3,0,1,0,0,0
blowfish,blowfish,0,0,0,0,0,3,34
blowgun,blowgun,27,6,1,0,0,1,0
blowtorch,blowtorch,28,7,1,0,1,0,0
blueberry,blueberry,6,4,1,5,3,11,8
boa,boa,25,7,0,2,1,0,0
boar,boar,0,0,0,0,0,3,37
board,board,20,10,3,1,5,0,0
board game,board_game,31,5,0,0,0,0,1
boat,boat,29,5,0,2,0,0,0
bobsled,bobsled,32,4,1,1,1,0,0
bok choy,bok_choy,4,1,3,1,7,13,8
bolo tie,bolo_tie,32,3,0,1,0,0,1
bologna,bologna,23,6,4,2,1,2,0
bolt,bolt,28,9,1,0,0,0,0
bomb,bomb,32,6,1,0,0,0,0
bone,bone,12,6,2,4,7,3,1
bongo,bongo,29,9,0,0,0,0,1
bonnet,bonnet,29,9,0,0,0,0,0
bonsai,bonsai,0,0,1,0,1,4,31
book,book,27,5,1,4,2,0,0
bookmark,bookmark,33,5,1,0,0,0,0
bookshelf,bookshelf,23,7,4,1,1,0,0
boomerang,boomerang,24,10,2,1,0,0,0
boot,boot,31,3,0,0,1,0,1
bottle,bottle,32,5,1,0,0,1,0
bottle opener,bottle_opener,28,7,0,0,0,0,0
boulder,boulder,27,7,2,3,1,0,0
bouquet,bouquet,3,6,5,3,7,8,5
bow,bow1,31,3,0,1,0,0,0
bow,bow2,25,12,1,0,0,0,0
bow,bow3,32,4,1,0,0,1,0
bowl,bowl,32,4,0,1,0,0,1
bowler hat,bowler_hat,30,3,1,1,0,0,0
bowling ball,bowling_ball,27,8,1,0,0,0,0
bowtie,bowtie,28,6,1,0,0,1,0
box,box,28,9,0,0,0,0,0
boxer shorts,boxer_shorts,28,7,1,1,1,0,0
boxing gloves,boxing_gloves,25,12,0,1,0,0,0
boy,boy,0,0,0,0,0,3,36
bra,bra,24,11,0,0,0,0,0
brace,brace,32,5,0,1,0,0,0
bracelet,bracelet1,35,2,0,0,0,0,0
bracelet,bracelet2,33,7,0,0,0,0,0
bracket,bracket,31,2,0,0,1,0,0
braid,braid,17,6,4,3,3,1,1
brake,brake,32,4,0,0,0,0,1
branch,branch,0,0,0,0,6,12,19
brass knuckles,brass_knuckles,32,5,0,1,0,0,0
bread,bread,17,14,2,0,3,0,0
breadbox,breadbox,27,9,0,0,3,0,0
breadstick,breadstick,24,13,0,0,1,0,0
breakfast,breakfast,27,4,1,1,1,3,2
breathalyzer,breathalyzer,30,4,0,2,0,1,0
brick,brick,28,9,2,1,0,0,0
briefcase,briefcase,27,6,0,1,0,2,1
broccoli,broccoli,4,1,4,1,9,3,15
brooch,brooch,27,8,0,0,0,0,0
broom,broom,29,9,1,0,0,0,0
brownie,brownie,28,7,2,0,0,0,0
brush,brush,28,5,0,0,0,0,0
brussels sprouts,brussels_sprouts,2,2,2,6,3,11,13
bubble,bubble,25,5,2,3,1,0,0
bubble wrap,bubble_wrap,33,4,0,0,0,0,0
bucket,bucket,29,4,2,0,0,0,0
buckle,buckle,33,4,1,0,1,0,0
buffet,buffet,21,12,0,2,0,0,0
bug,bug,0,0,0,0,0,6,31
buggy,buggy,30,3,2,0,1,0,0
bull,bull,0,0,0,0,0,1,38
bulldozer,bulldozer,31,3,1,0,1,0,0
bullet,bullet,33,3,0,0,0,0,0
bulletin board,bulletin_board,31,4,0,0,1,2,0
bulletproof vest,bulletproof_vest,26,7,0,2,1,0,0
bumper,bumper,35,4,0,0,0,0,0
bun,bun,29,6,0,1,0,0,0
bungee,bungee,33,3,0,1,0,0,0
bunkbed,bunkbed,32,6,0,0,2,0,0
buoy,buoy,30,10,0,0,0,0,0
burner,burner,32,6,0,0,0,0,0
burrito,burrito,24,7,2,1,2,0,0
bus,bus,35,2,0,1,0,0,0
bush,bush,1,1,1,1,0,9,26
butter,butter,18,14,0,1,1,2,0
butterfly,butterfly,0,0,0,0,1,1,37
button,button1,28,8,0,1,0,0,0
button,button2,34,1,0,2,0,0,0
cabbage,cabbage,4,3,0,2,4,10,15
cabinet,cabinet,32,6,0,0,0,0,0
cable,cable,27,9,1,0,0,0,0
cactus,cactus,0,1,0,0,2,4,29
cage,cage,29,7,0,0,0,0,0
cake,cake,28,8,0,0,0,1,0
cake mix,cake_mix,27,7,1,0,1,1,0
calamari,calamari,5,13,6,4,4,2,3
calculator,calculator,30,6,2,0,0,0,0
calf,calf1,0,0,0,0,0,6,28
calf,calf2,2,1,0,1,6,14,10
calzone,calzone,29,7,1,0,0,0,0
camcorder,camcorder,25,11,0,1,0,0,0
camel,camel,0,0,0,0,0,4,31
camera lens,camera_lens,30,6,1,1,0,0,0
camera,camera1,26,8,1,1,1,0,0
camera,camera2,36,2,1,0,0,0,0
camper,camper,31,6,1,0,0,0,0
can,can,32,4,0,2,0,0,0
can opener,can_opener,34,3,0,0,1,1,0
candelabra,candelabra,36,3,0,1,0,0,0
candle,candle,25,10,0,1,1,0,0
candlestick,candlestick,31,2,1,1,4,1,0
candy,candy,27,4,1,1,0,0,0
candy bar,candy_bar,34,4,0,0,1,0,0
candy cane,candy_cane,29,6,1,0,0,0,0
cane,cane,28,8,0,0,0,0,0
canister,canister,26,7,0,2,2,0,1
cannon,cannon,33,4,0,1,0,0,0
cannonball,cannonball,30,6,0,0,0,1,0
canoe,canoe,35,3,0,0,0,0,0
cantaloupe,cantaloupe,4,3,2,1,11,9,7
canvas,canvas,31,6,0,1,1,0,0
cap,cap,34,4,0,1,0,0,0
cape,cape,23,9,1,2,0,1,0
car,car,35,1,1,0,1,0,0
car door,car_door,32,5,0,0,0,0,0
car seat,car_seat,33,5,0,0,0,0,0
caramel,caramel,25,9,2,0,1,1,0
card,card,33,4,0,1,0,0,0
cardboard,cardboard,28,9,0,1,0,0,0
cardigan,cardigan,31,5,0,0,0,0,0
cardinal,cardinal,0,0,0,0,0,6,33
carousel,carousel,30,5,2,0,0,0,0
carriage,carriage,33,2,0,2,0,2,0
carrot,carrot,1,1,1,2,4,17,11
cart,cart,33,2,0,1,0,0,0
cash machine,cash_machine,29,5,0,0,0,0,0
cash register,cash_register,30,4,0,0,1,1,0
cashew,cashew,7,10,2,1,6,7,4
casserole,casserole,22,12,2,1,0,0,0
cassette,cassette,29,9,1,0,0,0,0
cat,cat,0,0,0,1,0,1,37
catapult,catapult,30,6,0,1,0,1,0
caterpillar,caterpillar,0,0,0,0,0,5,29
catfish,catfish,0,0,1,0,0,7,31
cauliflower,cauliflower,1,3,2,1,8,11,14
caviar,caviar,5,6,6,4,6,8,4
cd player,cd_player,29,3,0,0,0,1,0
celery,celery,3,2,1,0,10,9,13
cello,cello,35,2,0,1,0,0,0
cellphone,cellphone,29,6,0,0,1,1,0
cement mixer,cement_mixer,36,1,0,0,1,0,0
centerpiece,centerpiece,23,5,1,4,3,0,1
centrifuge,centrifuge,31,5,0,0,1,0,0
cereal,cereal,26,8,0,2,1,0,0
chain,chain,37,2,0,0,0,1,0
chainsaw,chainsaw,27,8,3,0,0,0,0
chair,chair,28,5,2,1,0,0,1
chalice,chalice,27,9,0,0,0,0,0
chalk,chalk,28,7,2,0,1,0,0
chalkboard,chalkboard,32,4,1,1,1,0,0
champagne,champagne,27,6,1,0,1,1,0
chandelier,chandelier,30,4,1,2,1,0,0
chaps,chaps,28,7,0,1,0,0,0
charcoal,charcoal,30,5,1,1,0,1,0
charger,charger,32,4,1,1,0,0,0
chariot,chariot,29,7,0,1,0,0,0
checkbook,checkbook,33,2,0,0,0,1,0
checkers,checkers,29,6,2,0,0,0,0
cheese,cheese,15,11,3,2,6,1,0
cheeseburger,cheeseburger,30,7,2,0,0,0,0
cheesecake,cheesecake,31,3,1,1,1,0,0
cheetah,cheetah,1,0,0,0,0,1,38
cherry,cherry,6,3,1,4,5,13,7
chess piece,chess_piece,28,8,0,2,0,0,0
chessboard,chessboard,26,6,0,2,2,0,0
chest,chest1,0,0,1,2,10,13,10
chest,chest2,32,5,0,0,0,0,0
chick,chick,1,0,0,0,1,2,35
chicken wire,chicken_wire,30,7,0,0,0,0,0
chicken,chicken1,2,2,2,4,3,5,19
chicken,chicken2,0,0,0,0,0,4,32
chickpea,chickpea,6,8,5,3,7,4,4
chihuahua,chihuahua,0,0,0,0,0,3,35
chili,chili,19,15,1,0,1,1,0
chime,chime,25,8,0,2,0,0,0
chimney,chimney,33,5,0,0,0,1,0
chin,chin,4,4,0,3,7,9,9
chinaware,chinaware,29,8,1,1,0,0,1
chinchilla,chinchilla,0,0,0,0,1,0,29
chip,chip,30,7,2,0,0,0,0
chipmunk,chipmunk,0,0,0,0,0,5,33
chips,chips,24,11,1,0,2,0,1
chisel,chisel,31,8,0,0,0,0,0
chive,chive,2,3,3,1,8,6,16
chocolate,chocolate,24,9,2,0,1,0,0
chopsticks,chopsticks,30,5,0,0,0,2,0
christmas card,christmas_card,32,3,1,3,0,0,0
christmas tree,christmas_tree,2,5,1,4,6,9,7
chute,chute,29,5,1,1,0,0,0
cigar,cigar,26,7,0,0,0,0,0
cigarette,cigarette,28,6,0,3,0,0,0
cigarette butt,cigarette_butt,33,3,0,0,0,0,0
cigarette holder,cigarette_holder,34,2,0,0,0,0,0
cilantro,cilantro,0,1,1,0,6,12,18
cinnamon,cinnamon,17,11,1,2,5,2,1
clam,clam,1,1,0,0,1,5,29
clarinet,clarinet,29,3,3,1,0,0,0
clasp,clasp,28,10,1,0,1,0,0
clay,clay,21,7,3,0,3,1,0
cleat,cleat,29,7,0,0,0,0,0
cleaver,cleaver,34,2,0,0,1,0,0
clipboard,clipboard,29,5,1,1,0,0,0
clipper,clipper1,30,5,0,1,1,0,0
clipper,clipper2,30,6,1,0,1,0,0
cloak,cloak,30,5,1,0,1,0,0
clock,clock,29,4,3,1,0,1,0
closet,closet,28,5,1,0,2,0,0
clothes,clothes,27,4,1,0,0,1,0
clothesline,clothesline,26,9,0,0,0,0,0
clothespin,clothespin,27,7,2,1,0,0,0
cloud,cloud,18,10,1,5,2,0,1
clove,clove,5,3,3,3,7,7,7
clover,clover,0,0,0,1,2,8,27
coal,coal,18,10,3,4,1,0,0
coaster,coaster,26,8,1,1,0,0,0
coat,coat,29,6,1,0,0,1,0
coat rack,coat_rack,33,4,1,0,0,1,0
cobra,cobra,0,0,0,0,1,1,33
cockatoo,cockatoo,0,0,0,0,1,3,35
cockroach,cockroach,0,0,0,0,1,4,33
cocktail,cocktail,27,11,0,0,0,0,0
coconut,coconut,3,4,2,1,9,10,8
cocoon,cocoon,1,3,0,2,5,6,20
coffee,coffee,24,5,2,0,4,0,0
coffee bean,coffee_bean,7,8,2,1,9,6,2
coffee filter,coffee_filter,29,4,1,2,0,0,0
coffee pot,coffee_pot,28,7,0,0,0,1,0
coffee table,coffee_table,28,6,0,0,1,2,0
coffeemaker,coffeemaker,33,2,0,0,0,0,0
coffin,coffin,31,3,0,2,2,1,0
coil,coil,30,6,0,0,0,0,0
coin,coin,33,4,0,0,1,0,0
coleslaw,coleslaw,20,12,5,1,0,0,0
collar,collar,31,6,0,0,1,0,0
column,column,28,6,2,0,0,0,0
comb,comb,32,4,0,0,0,0,0
combination lock,combination_lock,34,4,0,0,0,0,0
comic book,comic_book,27,6,0,3,1,1,0
compass,compass,26,5,1,0,3,0,0
compost,compost,9,7,6,2,7,5,3
computer,computer,29,7,1,0,1,0,0
computer screen,computer_screen,28,6,0,1,2,0,0
confetti,confetti,35,3,1,0,0,0,0
contact lens,contact_lens,25,10,0,0,1,2,0
container,container,34,2,0,0,0,0,0
cooker,cooker,31,8,1,0,0,0,0
cookie,cookie,31,4,1,0,0,0,0
cookie cutter,cookie_cutter,32,4,0,0,0,0,0
cookie sheet,cookie_sheet,33,5,0,0,0,0,0
cooler,cooler,30,7,0,0,0,0,1
coop,coop,25,9,1,1,0,0,0
copier,copier,33,2,1,0,0,0,0
coral,coral,0,0,0,2,0,11,24
cord,cord,32,5,0,0,0,0,0
cordon bleu,cordon_bleu,26,9,0,1,1,0,1
cork,cork,19,11,1,1,2,0,2
corkboard,corkboard,25,12,0,0,0,1,0
corkscrew,corkscrew,32,3,1,0,0,0,0
corn,corn,3,3,4,3,6,8,11
cornbread,cornbread,25,10,1,1,0,1,0
cornhusk,cornhusk,8,7,1,4,6,6,5
cornmeal,cornmeal,15,8,5,3,4,0,2
cornucopia,cornucopia,12,7,5,4,6,2,1
corsage,corsage,10,6,2,4,11,4,1
corset,corset,27,6,2,1,0,0,0
costume,costume,28,4,2,1,1,1,0
cot,cot,34,4,0,0,0,0,0
cotton candy,cotton_candy,31,4,1,0,1,0,0
couch,couch,32,5,0,0,0,0,0
cougar,cougar,0,0,0,0,0,3,36
counter,counter,31,6,0,0,0,0,0
coverall,coverall,31,5,0,0,0,0,0
cow,cow,0,0,0,0,0,7,33
coyote,coyote,0,0,0,0,0,6,32
crab,crab,0,0,0,0,0,4,33
cracker,cracker,27,6,2,0,0,0,0
cranberry,cranberry,3,6,4,3,4,9,6
crane,crane,33,5,0,0,0,0,0
crank,crank,33,4,0,1,0,0,0
crate,crate,32,3,0,1,0,1,0
crayfish,crayfish,0,0,0,0,1,4,34
crayon,crayon,32,5,1,0,0,0,0
cream,cream,27,7,1,2,0,0,0
cream cheese,cream_cheese,21,11,1,1,5,1,0
credit card,credit_card,34,4,0,1,0,1,0
creme brulee,creme_brulee,25,9,3,1,1,0,0
crepe,crepe,28,9,1,0,1,0,0
crib,crib,27,9,1,1,0,0,0
croissant,croissant,17,13,3,1,2,0,1
cross,cross,31,0,1,1,3,0,0
crossbow,crossbow,30,5,0,0,0,1,0
crouton,crouton,30,6,0,2,0,0,0
crow,crow,1,0,0,0,1,3,34
crowbar,crowbar,29,7,1,0,0,0,0
crown,crown,32,3,1,1,0,0,0
crucifix,crucifix,24,6,1,3,1,0,0
cruise ship,cruise_ship,29,7,0,0,0,0,1
crumb,crumb,27,8,0,0,2,0,0
crutch,crutch,32,4,0,2,1,0,0
crystal ball,crystal_ball,29,3,1,2,0,2,0
crystal,crystal1,13,5,3,7,5,1,0
crystal,crystal2,22,11,0,1,1,3,0
cuckoo clock,cuckoo_clock,30,6,0,1,1,0,0
cucumber,cucumber,3,3,1,3,7,10,12
cufflink,cufflink,31,7,0,1,0,0,0
cummerbund,cummerbund,32,2,1,0,0,0,0
cup,cup,29,6,0,1,0,0,0
cupcake,cupcake,31,5,0,2,1,0,1
curb,curb,34,3,0,0,0,0,0
curling iron,curling_iron,34,3,0,1,0,0,0
curry,curry,26,8,1,1,1,0,1
curtain,curtain,27,7,1,0,0,1,0
cushion,cushion,28,6,0,0,0,0,0
cutting board,cutting_board,25,9,3,0,0,0,0
cymbal,cymbal,29,7,1,1,0,0,0
dagger,dagger,34,5,0,0,1,0,0
daisy,daisy,0,0,0,0,1,9,27
dalmatian,dalmatian,2,0,0,0,0,2,31
dandelion,dandelion,1,0,0,0,2,10,25
dart,dart,31,3,1,1,0,0,2
dartboard,dartboard,30,6,1,0,0,0,1
dashboard,dashboard,29,7,1,1,0,1,0
deer,deer,1,0,0,0,0,2,35
defibrillator,defibrillator,33,4,0,0,2,0,0
denture,denture,31,7,0,0,0,0,0
deodorant,deodorant,30,4,1,1,1,0,0
desk,desk,27,5,3,1,1,0,0
dessert,dessert,30,4,3,0,0,0,0
detonator,detonator,34,2,0,1,1,0,0
dial,dial,34,4,0,0,0,0,0
diamond,diamond,24,8,4,2,0,1,0
diaper,diaper,29,10,0,0,0,0,0
dice,dice,34,2,2,0,0,1,0
dip,dip,27,6,1,0,1,1,0
dirt bike,dirt_bike,29,8,0,2,0,0,0
dish,dish,32,6,0,0,0,0,0
dishrag,dishrag,26,12,1,0,0,0,0
dishwasher,dishwasher,32,4,1,0,1,0,0
dishwashing liquid,dishwashing_liquid,36,1,0,0,0,1,0
diskette,diskette,27,2,2,1,2,0,0
diving board,diving_board,30,6,1,1,0,0,0
dog,dog,0,0,0,0,1,1,34
dogfood,dogfood,29,3,1,1,0,0,0
doghouse,doghouse,31,4,1,2,1,0,0
doily,doily,32,7,0,0,0,0,0
doll,doll,33,3,0,1,0,0,0
dollhouse,dollhouse,25,10,1,0,0,0,0
dolly,dolly,27,8,1,2,0,1,0
dolphin,dolphin,0,0,0,0,0,1,38
domino,domino,30,3,2,1,0,0,0
donkey,donkey,0,0,0,0,2,3,34
donut,donut,26,7,0,1,0,0,0
door,door,30,5,1,0,1,0,1
doorbell,doorbell,32,2,1,0,0,1,0
doorhandle,doorhandle,31,4,0,0,0,1,0
doorknob,doorknob,32,4,0,1,0,1,0
doorknocker,doorknocker,28,7,0,0,1,0,0
doormat,doormat,34,3,0,0,0,0,0
doorstop,doorstop,34,1,0,1,1,1,0
dough,dough,14,9,3,3,4,0,2
dragonfly,dragonfly,0,0,0,0,1,8,26
drain,drain,26,9,0,0,1,0,0
drawer,drawer,32,6,1,0,0,0,0
dreidel,dreidel,27,5,1,1,0,1,1
dress,dress,26,7,2,1,0,0,0
dresser,dresser,30,6,1,0,0,0,0
drill,drill,30,3,0,0,0,2,0
drink,drink,22,10,0,3,1,2,0
drum,drum,30,7,0,1,0,0,0
drumstick,drumstick,33,3,0,1,0,0,0
dryer,dryer,31,4,0,1,1,1,0
duck,duck,2,0,0,0,0,1,35
duckling,duckling,0,0,0,0,0,3,35
duct,duct,34,4,0,1,0,0,0
duct tape,duct_tape,32,4,2,0,0,0,0
duffel bag,duffel_bag,29,8,1,0,0,0,0
dumbbell,dumbbell,36,2,0,0,0,0,0
dumbwaiter,dumbwaiter,32,3,0,0,0,0,0
dumpling,dumpling,23,10,1,0,2,0,0
dumpster,dumpster,35,1,0,0,0,0,0
duster,duster,30,4,0,2,1,0,0
dustpan,dustpan,29,5,1,0,2,0,0
dynamite,dynamite,29,8,1,0,0,0,0
eagle,eagle,0,0,1,0,1,0,36
ear,ear,2,2,0,4,6,12,12
earplug,earplug,30,6,1,2,0,0,0
earring,earring,35,5,0,0,0,0,0
earwig,earwig,0,0,0,0,0,1,35
easel,easel,28,8,0,1,1,0,0
easter egg,easter_egg,21,11,2,1,1,1,0
eclair,eclair,25,7,0,3,0,0,0
eel,eel,0,0,0,0,3,2,32
egg,egg,2,4,2,5,10,5,7
egg roll,egg_roll,27,9,1,1,0,0,0
eggbeater,eggbeater,35,2,1,0,0,0,0
eggnog,eggnog,30,9,1,0,0,0,0
eggplant,eggplant,2,1,2,3,7,13,10
eggshell,eggshell,14,16,2,2,2,2,1
elbow,elbow,1,1,2,4,5,11,14
electric chair,electric_chair,28,8,0,0,0,1,0
elephant,elephant,0,0,0,0,0,4,33
emerald,emerald,19,10,3,4,1,1,0
enchilada,enchilada,30,8,0,1,0,0,0
engine,engine,25,9,3,1,1,0,0
envelope,envelope,29,8,0,0,1,0,0
eraser,eraser,31,7,0,0,0,0,0
espresso,espresso,25,10,1,1,0,1,0
exerciser,exerciser,30,6,0,1,1,0,0
exhaust pipe,exhaust_pipe,32,1,1,2,0,0,0
extinguisher,extinguisher,26,7,0,2,0,1,0
eye,eye,0,1,0,4,4,14,15
eye patch,eye_patch,31,2,1,2,0,0,0
eyedropper,eyedropper,28,5,1,1,0,0,0
eyeliner,eyeliner,31,5,0,0,0,0,0
eyepiece,eyepiece,30,9,0,0,0,0,0
face,face,0,0,0,1,7,12,18
face mask,face_mask,34,2,0,2,0,0,0
fan,fan,33,1,2,1,0,0,0
fast food,fast_food,22,6,4,3,0,0,0
faucet,faucet,29,8,0,1,0,0,0
feather,feather,13,13,3,3,6,0,2
fence,fence,22,13,0,2,1,0,0
fencepost,fencepost,30,7,1,0,0,0,0
fern,fern,0,0,0,1,5,5,24
ferret,ferret,0,0,1,0,0,4,35
ferris wheel,ferris_wheel,28,5,1,0,2,0,0
ferry,ferry,25,7,0,0,2,0,0
fig,fig,4,4,2,0,6,12,8
figurine,figurine,31,5,1,1,0,2,0
file,file1,29,4,1,0,0,0,1
file,file2,30,3,1,1,0,0,0
filing cabinet,filing_cabinet,30,7,0,0,0,0,0
film,film,27,9,2,1,0,0,0
filter,filter,30,3,1,0,0,0,0
finger,finger,1,1,0,0,6,11,18
fingerprint,fingerprint,17,6,4,2,4,3,1
fire,fire,13,11,5,4,4,1,2
fire alarm,fire_alarm,31,5,1,0,0,1,0
fire hydrant,fire_hydrant,33,5,1,0,1,0,0
fire pit,fire_pit,35,3,0,1,0,0,0
firecracker,firecracker,29,6,0,0,1,0,0
fireplace,fireplace,26,7,1,1,1,1,0
firetruck,firetruck,29,4,0,0,1,0,0
firewood,firewood,7,16,3,3,4,1,0
fireworks,fireworks,27,9,1,0,1,0,0
first-aid kit,first-aid_kit,30,7,0,1,0,0,0
fish,fish,0,0,0,0,2,3,32
fishbowl,fishbowl,23,9,2,1,1,1,1
fishhook,fishhook,27,5,0,0,0,1,0
fishing pole,fishing_pole,26,6,2,0,0,1,0
fishnet stockings,fishnet_stockings,26,4,2,0,0,3,0
flag,flag,35,1,0,2,0,0,0
flagpole,flagpole,28,8,0,0,0,0,0
flamethrower,flamethrower,28,5,1,3,1,0,0
